BeerID,StyleID,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,SugarScale,BrewMethod,PitchRate,PrimaryTemp,PrimingMethod,PrimingAmount
18751,102,20.82,1.058,1.018,5.29,19.44,9.24,29.34,90,1.041,75,1.25,Specific Gravity,All Grain,N/A,12.78,N/A,N/A
54259,7,44,1.068,1.016,6.81,60.2,10.08,54,60,1.056,68,2.5,Specific Gravity,All Grain,N/A,N/A,N/A,N/A
49642,115,37.85,1.055,1.013,5.5,26.25,7.97,45.42,90,1.046,70,1.6,Specific Gravity,All Grain,1.5,11.67,kegged/co2,2.5vol.@38deg. 9.1psi
61229,7,18.93,1.059,1.011,6.29,57.71,7.54,11.36,60,1.099,35,N/A,Specific Gravity,extract,0.35,24.44,N/A,N/A
5053,132,20.82,1.087,1.02,9.4,95.3,35.41,26.5,60,1.068,73,1.33,Specific Gravity,All Grain,0.75,18.33,N/A,N/A
26981,150,50,1.068,1.011,7.42,66.89,11.84,58,70,1.058,82,3,Specific Gravity,All Grain,N/A,16,N/A,N/A
45169,10,11.36,1.062,1.017,5.9,93.93,8.66,7.57,60,1.092,35,N/A,Specific Gravity,extract,0.5,20,N/A,N/A
51429,92,8,1.043,1.008,4.49,24.1,14.58,9.3,75,1.037,75,2.6,Specific Gravity,All Grain,0.35,23,Dextrose,32-33 grs
30680,4,18.93,1.047,1.014,4.36,18.02,11.37,11.36,60,1.078,35,N/A,Specific Gravity,extract,0.35,20.56,Corn Sugar,4oz
73307,27,20.82,9.09069,1.96965,3.75,4.45,2.83,22.71,30,8.4,75,1.5,Plato,All Grain,N/A,22.22,N/A,N/A
8203,7,41.64,1.065,1.013,6.83,54.43,7.83,49.21,90,1.055,75,1.25,Specific Gravity,All Grain,0.75,20,N/A,N/A
62749,55,50,1.056,1.014,5.52,26.09,5.73,55,90,1.051,72,N/A,Specific Gravity,All Grain,N/A,10,N/A,N/A
48675,142,18.93,1.162,1,21.22,0,21.83,28.39,60,1.108,35,1.3,Specific Gravity,All Grain,N/A,N/A,N/A,N/A
23136,9,26.5,1.064,1.015,6.36,90.05,18.08,28.39,60,1.059,70,1.25,Specific Gravity,All Grain,N/A,21.11,N/A,N/A
60631,75,500,1.053,1.013,5.2,7.14,3.9,508,60,1.052,65,3,Specific Gravity,All Grain,N/A,N/A,N/A,N/A
49802,9,3.79,1.049,1.009,5.27,0,3.59,3.79,0,1.049,66,1.5,Specific Gravity,All Grain,1.25,18.33,N/A,N/A
15256,145,20.82,1.047,1.011,4.68,29.14,3.47,11.36,60,N/A,45,N/A,Specific Gravity,extract,N/A,21.11,N/A,N/A
53668,56,20.82,1.076,1.014,8.15,121.75,6.11,28.39,60,1.056,72,1.5,Specific Gravity,All Grain,1.25,21.11,N/A,N/A
53858,175,18,1.053,1.016,4.83,21.64,4.24,24,60,1.04,70,N/A,Specific Gravity,BIAB,0.5,18,N/A,N/A
45409,4,21,1.065,1.012,7.02,68.79,19.32,28.5,60,1.048,65,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A
